name,slug,country,group_name,notes
Empresa Cubana del Tabaco,empresa-cubana-del-tabaco,CU,Habanos S.A.,Monopole d'État cubain. Habanos S.A. assure la distribution mondiale.
Tabacalera A. Fuente y Cía,tabacalera-a-fuente-y-cia,DO,Fuente Family,Santiago de los Caballeros.
Padrón Cigars,padron-cigars,NI,Padrón Family,Estelí.
Oliva Cigar Co.,oliva-cigar-co,NI,J. Cortès,Estelí. Rachetée par le groupe belge J. Cortès en 2016.
My Father Cigars,my-father-cigars,NI,García Family,Estelí. Fondée par José « Pepín » García.
Drew Estate,drew-estate,NI,Scandinavian Tobacco Group,Estelí. La Gran Fabrica Drew Estate.
Joya de Nicaragua,joya-de-nicaragua,NI,,Estelí. La plus ancienne manufacture du Nicaragua.
Plasencia Cigars,plasencia-cigars,NI,Plasencia Family,Estelí. Également l'un des premiers producteurs de feuille.
Tabacalera AJ Fernandez,tabacalera-aj-fernandez,NI,,Estelí.
Perdomo Cigars,perdomo-cigars,NI,,Estelí.
Tabacalera Fernández,tabacalera-fernandez,NI,Aganorsa,Estelí. Feuille Aganorsa.
Nicaraguan American Tobacco,nicaraguan-american-tobacco,NI,Rocky Patel Premium Cigars,Estelí.
Oettinger Davidoff AG,oettinger-davidoff-ag,CH,Oettinger Davidoff,Bâle. Maison mère.
Cigars Davidoff,cigars-davidoff,DO,Oettinger Davidoff,Santiago. Anciennement Tabadom.
La Aurora,la-aurora,DO,León Jimenes,Santiago. Fondée en 1903.
Manufactura de Tabacos S.A.,manufactura-de-tabacos-s-a,DO,Quesada Cigars,Santiago. Connue sous le sigle MATASA.
La Flor Dominicana,la-flor-dominicana,DO,,Tamboril.
Tabacalera de García,tabacalera-de-garcia,DO,Imperial Brands,La Romana. L'une des plus grandes manufactures de cigares premium.
EPC Cigar Co.,epc-cigar-co,DO,,Santiago. Ernesto Perez-Carrillo.
General Cigar Dominicana,general-cigar-dominicana,DO,Scandinavian Tobacco Group,Santiago.
Tabacalera Palma,tabacalera-palma,DO,,Tamboril.
Kelner Boutique Factory,kelner-boutique-factory,DO,,Santiago. Hendrik Kelner Jr.
Fábrica de Tabacos Raíces Cubanas,fabrica-de-tabacos-raices-cubanas,HN,,Danlí.
Agroindustria LAEPE,agroindustria-laepe,HN,Oettinger Davidoff,Danlí. Manufacture de Camacho.
Honduras American Tabaco,honduras-american-tabaco,HN,Scandinavian Tobacco Group,Cofradía.
Nestor Plasencia Honduras,nestor-plasencia-honduras,HN,Plasencia Family,Danlí.
J.C. Newman Cigar Co.,j-c-newman-cigar-co,US,,"Tampa, Floride. El Reloj."
Villiger Söhne,villiger-sohne,CH,Villiger,Pfeffikon.
A. Turrent,a-turrent,MX,Casa Turrent,"San Andrés Tuxtla, Veracruz."
Altadis U.S.A.,altadis-u-s-a,US,Imperial Brands,Fort Lauderdale. Distribution Amérique du Nord.
