name,slug,manufacturer_slug,country,founded_year,is_cuban,description
Cohíba,cohiba,empresa-cubana-del-tabaco,CU,1966,true,"Créée pour Fidel Castro avant sa commercialisation en 1982. Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
Montecristo,montecristo,empresa-cubana-del-tabaco,CU,1935,true,"Nom inspiré du roman d'Alexandre Dumas, lu aux torcedores en atelier. Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
Partagás,partagas,empresa-cubana-del-tabaco,CU,1845,true,"Fondée par Jaime Partagás. Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
Romeo y Julieta,romeo-y-julieta,empresa-cubana-del-tabaco,CU,1875,true,"Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
H. Upmann,h-upmann,empresa-cubana-del-tabaco,CU,1844,true,"Fondée par le banquier allemand Hermann Upmann. Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
Hoyo de Monterrey,hoyo-de-monterrey,empresa-cubana-del-tabaco,CU,1865,true,"Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
Trinidad,trinidad,empresa-cubana-del-tabaco,CU,1969,true,"Longtemps réservée au corps diplomatique, commercialisée en 1998. Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
Bolívar,bolivar,empresa-cubana-del-tabaco,CU,1902,true,"Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
Punch,punch,empresa-cubana-del-tabaco,CU,1840,true,"Marque scindée après 1959 : une version cubaine et une version non cubaine coexistent sous le même nom, produites par des groupes différents."
Ramón Allones,ramon-allones,empresa-cubana-del-tabaco,CU,1837,true,Première marque à avoir utilisé la boîte habillée dite « 8-9-8 ».
Vegas Robaina,vegas-robaina,empresa-cubana-del-tabaco,CU,1997,true,Nommée d'après le veguero Alejandro Robaina.
Cuaba,cuaba,empresa-cubana-del-tabaco,CU,1996,true,Marque entièrement consacrée aux figurados double figurado.
