name_galera,name_salida,slug,length_mm,ring_gauge,shape,notes
Laguito No. 1,Lancero,laguito-no-1,192,38,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Laguito No. 2,Lancero corto,laguito-no-2,152,38,parejo,
Laguito No. 3,Panetela,laguito-no-3,115,26,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Julieta No. 2,Churchill,julieta-no-2,178,47,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Prominentes,Double Corona,prominentes,194,49,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Cervantes,Lonsdale,cervantes,165,42,parejo,
Dalias,Corona Grande,dalias,170,43,parejo,
Corona,Corona,corona,142,42,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Coronas Grandes,Corona Grande,coronas-grandes,155,42,parejo,
Mareva,Petit Corona,mareva,129,42,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Hermosos No. 4,Corona Gorda,hermosos-no-4,143,48,parejo,
Robustos,Robusto,robustos,124,50,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Petit Robustos,Petit Robusto,petit-robustos,102,50,parejo,
Cañonazo,Robusto Extra,canonazo,150,52,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »). Habanos y désigne la vitole de salida « Siglo VI » ; « Robusto Extra » est l'usage courant. À arbitrer.
Genios,Genios,genios,140,52,parejo,
Duke,Duke,duke,140,54,parejo,
Sublimes,Sublime,sublimes,164,54,parejo,
Gordito,Gordito,gordito,141,50,parejo,
Magicos,Magico,magicos,115,52,parejo,
Edmundo,Edmundo,edmundo,135,52,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Petit Edmundo,Petit Edmundo,petit-edmundo,110,52,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Pirámides,Torpedo,piramides,156,52,piramide,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »).
Campanas,Belicoso,campanas,140,52,belicoso,
Perlas,Perla,perlas,102,40,parejo,Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »). Habanos donne « Tres Petit Corona » comme vitole de salida.
Franciscano,Franciscano,franciscano,116,40,parejo,
Carolinas,Carolina,carolinas,121,26,parejo,
Seoane,Seoane,seoane,125,36,parejo,
Vegueritos,Vegueritos,vegueritos,127,36,parejo,
Ninfas,Ninfa,ninfas,178,33,parejo,
Salomones,Salomon,salomones,184,57,perfecto,
Gran Corona,Gran Corona,gran-corona,235,47,parejo,
Petit Cetros,Petit Cetro,petit-cetros,129,40,parejo,Dimensions à vérifier avant publication.
Cremas,Crema,cremas,140,40,parejo,Dimensions à vérifier avant publication.
Standard,Standard,standard,123,40,parejo,Dimensions à vérifier avant publication.
Conservas,Conserva,conservas,145,43,parejo,Dimensions à vérifier avant publication.
Britanicas,Britanica,britanicas,137,48,parejo,Dimensions à vérifier avant publication.
Eminentes,Eminente,eminentes,132,44,parejo,Dimensions à vérifier avant publication.
Pirámides Extra,Torpedo Extra,piramides-extra,160,54,piramide,Dimensions à vérifier avant publication.
Trabucos,Trabuco,trabucos,110,38,parejo,Dimensions confirmées par recoupement documentaire.
Deliciosos,Delicioso,deliciosos,159,33,parejo,Dimensions à vérifier avant publication.
Cazadores,Cazadore,cazadores,162,43,parejo,Dimensions à vérifier avant publication.
Exquisitos,Double Figurado,exquisitos,145,46,perfecto,"Dimensions confirmées sur le site officiel Habanos S.A. (« Principal shapes and sizes »). À ne pas confondre avec « Cohíba Exquisitos », nom commercial d'une panetela fine (galera Seoane)."
Coronas Gordas,Corona Gorda,coronas-gordas,143,46,parejo,
Laguito No. 5,BHK 52,laguito-no-5,119,52,parejo,Dimensions à vérifier avant publication. Vitole propre à la gamme Behike.
Laguito No. 6,BHK 54,laguito-no-6,144,54,parejo,Dimensions à vérifier avant publication. Vitole propre à la gamme Behike.
Laguito No. 7,BHK 56,laguito-no-7,166,56,parejo,Dimensions à vérifier avant publication. Vitole propre à la gamme Behike.
,Toro,toro,152,52,parejo,Format conventionnel non cubain ; les dimensions varient légèrement selon les manufactures.
,Gordo,gordo,152,60,parejo,Format conventionnel non cubain ; les dimensions varient légèrement selon les manufactures.
,Rothschild,rothschild,114,50,parejo,Format conventionnel non cubain ; les dimensions varient légèrement selon les manufactures.
,Double Toro,double-toro,178,60,parejo,Dimensions à vérifier avant publication. Format conventionnel non cubain.
,Corona Extra,corona-extra,143,46,parejo,Dimensions à vérifier avant publication. Format conventionnel non cubain.
Minutos,Petit corona,minutos,110,42,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A) pour rattacher les fiches de l'arrêté
Magnum 50,Magnum 50,magnum-50,160,50,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Magnum 54,Magnum 54,magnum-54,120,54,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Montesco,Wide Churchill,montesco,130,55,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Geniales,Geniales,geniales,150,54,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Reyes,Reyes,reyes,110,40,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Torres,Vigía,torres,110,54,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Laguito Especial,Fundadores,laguito-especial,192,40,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Entreactos,Entreacto,entreactos,100,30,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Cadetes,Cadete,cadetes,115,36,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Petit Pirámides,Petit pirámide,petit-piramides,120,52,piramide,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Forum,Forum,forum,135,46,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Belvederes,Belvedere,belvederes,125,39,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Palmitas,Palmita,palmitas,152,32,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Sport,Sport,sport,117,35,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Coronitas,Coronita,coronitas,117,40,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Dobles,Double Edmundo,dobles,155,50,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Petit Bouquet,Petit bouquet,petit-bouquet,101,43,perfecto,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Tradicionales,Tradicionales,tradicionales,120,42,perfecto,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Distinguidos,Distinguidos,distinguidos,162,52,perfecto,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Tapados,Tapados,tapados,120,46,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Centrofinos,Centrofinos,centrofinos,130,50,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Centrogordos,Centrogordos,centrogordos,140,52,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Mañanitas,Mañanitas,mananitas,100,40,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Media Luna,Media Luna,media-luna,115,50,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Esmeralda,Esmeralda,esmeralda,145,53,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
D No. 6,Serie D No. 6,d-no-6,90,50,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Maduro No. 1,Maduro No. 1,maduro-no-1,130,52,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Maduro No. 2,Maduro No. 2,maduro-no-2,120,55,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Maduro No. 3,Maduro No. 3,maduro-no-3,145,50,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Maltés,Maltés,maltes,153,53,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Dumas,Dumas,dumas,130,49,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Leyenda,Leyenda,leyenda,165,55,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Petit Royales,Petit Royale,petit-royales,95,47,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Prado,Prado,prado,127,50,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
Picadores,Picadores,picadores,127,48,parejo,Dimensions à vérifier — ajoutée le 6 septembre 2026 (Source A)
