brand_slug,vitola_slug,commercial_name,slug,origin_country,wrapper_origin,binder_origin,filler_origins,wrapper_shade,strength,release_type,release_year,status,notes
cohiba,perlas,Siglo I,cohiba-siglo-i,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,leger_moyen,regular,1992,draft,
cohiba,mareva,Siglo II,cohiba-siglo-ii,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,leger_moyen,regular,1992,draft,
cohiba,coronas-grandes,Siglo III,cohiba-siglo-iii,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1992,draft,
cohiba,coronas-gordas,Siglo IV,cohiba-siglo-iv,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1992,draft,
cohiba,dalias,Siglo V,cohiba-siglo-v,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1992,draft,
cohiba,canonazo,Siglo VI,cohiba-siglo-vi,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,2002,draft,
cohiba,robustos,Robustos,cohiba-robustos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,1989,draft,
cohiba,julieta-no-2,Esplendidos,cohiba-esplendidos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,1989,draft,
cohiba,laguito-no-1,Lanceros,cohiba-lanceros,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1966,draft,
cohiba,laguito-no-2,Coronas Especiales,cohiba-coronas-especiales,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1966,draft,
cohiba,laguito-no-3,Panetelas,cohiba-panetelas,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger,regular,1966,draft,
cohiba,seoane,Exquisitos,cohiba-exquisitos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,leger_moyen,regular,1989,draft,
cohiba,magicos,Medio Siglo,cohiba-medio-siglo,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,2017,draft,
cohiba,laguito-no-5,Behike BHK 52,cohiba-behike-bhk-52,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,2010,draft,
cohiba,laguito-no-6,Behike BHK 54,cohiba-behike-bhk-54,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,2010,draft,
cohiba,laguito-no-7,Behike BHK 56,cohiba-behike-bhk-56,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,2010,draft,
cohiba,genios,Maduro 5 Genios,cohiba-maduro-5-genios,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,maduro,moyen_corse,regular,2007,draft,
cohiba,magicos,Maduro 5 Magicos,cohiba-maduro-5-magicos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,maduro,moyen_corse,regular,2007,draft,
montecristo,cervantes,No. 1,montecristo-no-1,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1935,draft,
montecristo,piramides,No. 2,montecristo-no-2,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,1935,draft,
montecristo,corona,No. 3,montecristo-no-3,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1935,draft,
montecristo,mareva,No. 4,montecristo-no-4,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1935,draft,
montecristo,perlas,No. 5,montecristo-no-5,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1935,draft,
montecristo,edmundo,Edmundo,montecristo-edmundo,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,2004,draft,
