type,name,slug,address,city,postal_code,country,lat,lng,status,source,source_date
civette,BAR DES HALLES,bar-des-halles-bourg-en-bresse,9 AV  MAGINOT,BOURG-EN-BRESSE,01000,FR,46.207907,5.227466,published,douane-fr-2018,2018-01-01
civette,LA DUCHESSE DE SAVOIE,la-duchesse-de-savoie-bourg-en-bresse,168 BIS BOULEVARD DE BROU,BOURG-EN-BRESSE,01000,FR,46.197466,5.235399,published,douane-fr-2018,2018-01-01
civette,LE CLEMENCEAU,le-clemenceau-bourg-en-bresse,1 PL G CLEMENCEAU,BOURG-EN-BRESSE,01000,FR,46.20577,5.226613,published,douane-fr-2018,2018-01-01
civette,TABAC MAG PRESSE,tabac-mag-presse-bourg-en-bresse,5 PL EDGARD QUINET,BOURG-EN-BRESSE,01000,FR,46.203565,5.226768,published,douane-fr-2018,2018-01-01
civette,AUBERGE DE LA CALONNE,auberge-de-la-calonne-guereins,LE VILLAGE,GUEREINS,01090,FR,46.106547,4.779116,published,douane-fr-2018,2018-01-01
civette,CHEZ SANDRINE,chez-sandrine-genouilleux,LE VILLAGE,GENOUILLEUX,01090,FR,46.117325,4.783737,published,douane-fr-2018,2018-01-01
civette,LE STROMBOLI,le-stromboli-montmerle-sur-saone,8 R DE MACON,MONTMERLE-SUR-SAONE,01090,FR,46.081043,4.757539,published,douane-fr-2018,2018-01-01
civette,LES TROIS RIVIERES,les-trois-rivieres-montmerle-sur-saone,1 PL DE LA LIBERTE,MONTMERLE-SUR-SAONE,01090,FR,46.080635,4.758233,published,douane-fr-2018,2018-01-01
civette,A LA CIVETTE,a-la-civette-oyonnax,96 R ANATOLE FRANCE,OYONNAX,01100,FR,46.259083,5.657253,published,douane-fr-2018,2018-01-01
civette,BRASSERIE DU CHEMIN DE FER,brasserie-du-chemin-de-fer-oyonnax,38 R MICHELET,OYONNAX,01100,FR,46.260122,5.653775,published,douane-fr-2018,2018-01-01
civette,L'EQUATEUR,l-equateur-arbent,69 R GENERAL ANDREA,ARBENT,01100,FR,46.294343,5.679831,published,douane-fr-2018,2018-01-01
civette,LE COMPTOIR DE MARIE,le-comptoir-de-marie-martignat,190 grande rue,MARTIGNAT,01100,FR,46.208986,5.610186,published,douane-fr-2018,2018-01-01
civette,LE LUTETIA,le-lutetia-oyonnax,7 PL EMILE ZOLA TABAC,OYONNAX,01100,FR,46.257972,5.657389,published,douane-fr-2018,2018-01-01
civette,LES 5 PASSAGES,les-5-passages-oyonnax,29 R VOLTAIRE,OYONNAX,01100,FR,46.256056,5.656026,published,douane-fr-2018,2018-01-01
civette,HÔTEL DU CENTRE,hotel-du-centre-cormaranche-en-bugey,6 place de la mairie,CORMARANCHE-EN-BUGEY,01110,FR,45.953583,5.608975,published,douane-fr-2018,2018-01-01
civette,LE HAVANE,le-havane-hauteville-lompnes,274 rue de  LA REPUBLIQUE,HAUTEVILLE-LOMPNES,01110,FR,45.97764,5.601724,published,douane-fr-2018,2018-01-01
civette,CAFE DE LA MAIRIE,cafe-de-la-mairie-pizay,810 ROUTE DE BOURG,PIZAY,01120,FR,45.889039,5.090854,published,douane-fr-2018,2018-01-01
civette,EPICERIE DU PLATANE,epicerie-du-platane-nievroz,42 PLACE ARISTIDE BRIAND,NIEVROZ,01120,FR,45.826268,5.063963,published,douane-fr-2018,2018-01-01
civette,LE CARNOT,le-carnot-montluel,12 PL CARNOT,MONTLUEL,01120,FR,45.852038,5.057016,published,douane-fr-2018,2018-01-01
civette,LE SEVEN,le-seven-la-boisse,1372 route Nationale,LA-BOISSE,01120,FR,45.843565,5.030377,published,douane-fr-2018,2018-01-01
civette,TABAC-PRESSE-LOTO,tabac-presse-loto-dagneux,1084 RTE DE GENEVE,DAGNEUX,01120,FR,45.850818,5.075977,published,douane-fr-2018,2018-01-01
civette,VIVAL,vival-thil,251 rue de la mairie,THIL,01120,FR,45.813627,5.021936,published,douane-fr-2018,2018-01-01
civette,AU PECHEUR QUI FUME,au-pecheur-qui-fume-nantua,76 R DU DOCTEUR MERCIER,NANTUA,01130,FR,46.151989,5.606957,published,douane-fr-2018,2018-01-01
civette,MAISON DE LA PRESSE,maison-de-la-presse-nantua,24 R DU COLLEGE,NANTUA,01130,FR,46.153238,5.606618,published,douane-fr-2018,2018-01-01
civette,TABAC LE 2J,tabac-le-2j-poizat-lalleyriat,323 rue de la Traversée,POIZAT- LALLEYRIAT,01130,FR,46.160288,5.692719,published,douane-fr-2018,2018-01-01
civette,LE P'TIT MEGOT,le-p-tit-megot-thoissey,17 Grande rue,THOISSEY,01140,FR,46.172401,4.802377,published,douane-fr-2018,2018-01-01
civette,RESTAURANT DE LA PLACE,restaurant-de-la-place-garnerans,17 place de la bascule,GARNERANS,01140,FR,46.205827,4.841132,published,douane-fr-2018,2018-01-01
civette,CHEZ YANN ET VAL CHAMOUSSET,chez-yann-et-val-chamousset-lagnieu,24 R PASTEUR,LAGNIEU,01150,FR,45.903451,5.348752,published,douane-fr-2018,2018-01-01
civette,LA POUPONNE,la-pouponne-saint-sorlin-en-bugey,117 grande rue,SAINT-SORLIN-EN-BUGEY,01150,FR,45.884836,5.371687,published,douane-fr-2018,2018-01-01
civette,RESTO'KEV LE PICHET,resto-kev-le-pichet-saint-vulbas,485 rue Philibert le Beau,SAINT-VULBAS,01150,FR,45.809269,5.274052,published,douane-fr-2018,2018-01-01
civette,LA TRUITE A L'OMBRE,la-truite-a-l-ombre-priay,156 grande rue de la Côtière,PRIAY,01160,FR,46.00329,5.289485,published,douane-fr-2018,2018-01-01
civette,L'ATMOSPHERE,l-atmosphere-pont-de-vaux,83 R MARECHAL DE LATTRE,PONT-DE-VAUX,01190,FR,46.429879,4.938437,published,douane-fr-2018,2018-01-01
civette,LE COMPTOIR DU PORT,le-comptoir-du-port-pont-de-vaux,12 R ANDRE,PONT-DE-VAUX,01190,FR,46.433752,4.938746,published,douane-fr-2018,2018-01-01
civette,LES QUATRE VENTS,les-quatre-vents-gorrevod,23 route de Bâgé,GORREVOD,01190,FR,46.427021,4.936679,published,douane-fr-2018,2018-01-01
civette,O P'TIT MARCHE D'OZAN,o-p-tit-marche-d-ozan-ozan,706 grande rue,OZAN,01190,FR,46.391523,4.915711,published,douane-fr-2018,2018-01-01
civette,HOTEL RESTAURANT MARINET,hotel-restaurant-marinet-chatillon-en-michaille,369  rue du bugey,CHATILLON-EN-MICHAILLE,01200,FR,46.114754,5.783428,published,douane-fr-2018,2018-01-01
civette,LE NICOTIANE,le-nicotiane-bellegarde-sur-valserine,6 R JOSEPH BERTOLA,BELLEGARDE-SUR-VALSERINE,01200,FR,46.107915,5.825673,published,douane-fr-2018,2018-01-01
civette,TABAC PRESSE DU CREDO,tabac-presse-du-credo-bellegarde-sur-valserine,4 rue Joliot Curie,BELLEGARDE-SUR-VALSERINE,01200,FR,46.117576,5.813894,published,douane-fr-2018,2018-01-01
civette,VIVAL,vival-bellegarde-sur-valserine,97 R CENTRALE,BELLEGARDE-SUR-VALSERINE,01200,FR,46.099395,5.815938,published,douane-fr-2018,2018-01-01
civette,VIVAL,vival-bellegarde-sur-valserine-56,CENTRE DE CHATILLON,BELLEGARDE-SUR-VALSERINE,01200,FR,46.109877,5.834384,published,douane-fr-2018,2018-01-01
civette,VIVAL,vival-billiat,Place de l'Eglise,BILLIAT,01200,FR,46.077603,5.784146,published,douane-fr-2018,2018-01-01
civette,LIBRAIRIE DU LYCEE,librairie-du-lycee-ferney-voltaire,65 R DE VERSOIX,FERNEY-VOLTAIRE,01210,FR,46.259072,6.116352,published,douane-fr-2018,2018-01-01
civette,VIVAL,vival-versonnex,50  place de la forge,VERSONNEX,01210,FR,46.3013,6.096338,published,douane-fr-2018,2018-01-01
civette,LE CALUMET,le-calumet-divonne-les-bains,19 place de l'église,DIVONNE-LES-BAINS,01220,FR,46.357159,6.142725,published,douane-fr-2018,2018-01-01
civette,CHEZ PIPPO,chez-pippo-saint-rambert-en-bugey,78 R DOCTEUR TEMPORAL,SAINT-RAMBERT-EN-BUGEY,01230,FR,45.94889,5.440446,published,douane-fr-2018,2018-01-01
civette,TABAC DE L'ALBARINE,tabac-de-l-albarine-tenay,2 PL DU PONT,TENAY,01230,FR,45.919078,5.509333,published,douane-fr-2018,2018-01-01
civette,CAZITOU,cazitou-dompierre-sur-veyle,13 place de la mairie,DOMPIERRE-SUR-VEYLE,01240,FR,46.071689,5.205686,published,douane-fr-2018,2018-01-01
civette,LE CERTINOIS,le-certinois-certines,419  route de la mairie,CERTINES,01240,FR,46.132868,5.264497,published,douane-fr-2018,2018-01-01
civette,LE SAINT JUST,le-saint-just-saint-just,4 place du centre,SAINT-JUST,01250,FR,46.192895,5.288081,published,douane-fr-2018,2018-01-01
civette,MULTISERVICES,multiservices-tossiat,308 rue louis François Jambon,TOSSIAT,01250,FR,46.141385,5.316705,published,douane-fr-2018,2018-01-01
civette,ZIGOU'FRAIS,zigou-frais-montagnat,135 chemin de l'église,MONTAGNAT,01250,FR,46.171098,5.286017,published,douane-fr-2018,2018-01-01
civette,LE MONTE CRISTO,le-monte-cristo-champagne-en-valromey,234 grande rue,CHAMPAGNE-EN-VALROMEY,01260,FR,45.904804,5.67885,published,douane-fr-2018,2018-01-01
