cigar_slug,vitola_slug,strength,note
bolivar-belicosos-finos-slb,campanas,corse,vitole de galera standard du vitolario Habanos (Belicosos Finos = Campanas) ; force publiée par Habanos pour la marque (fuerte)
bolivar-coronas-junior,,corse,force publiée par Habanos pour la marque (fuerte)
bolivar-evento-55-edition-regionale,,corse,force publiée par Habanos pour la marque (fuerte)
bolivar-regentes-edition-limitee-2021,,corse,force publiée par Habanos pour la marque (fuerte)
cohiba-55-aniversario-edition-limitee-2021,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
cohiba-ambar,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
cohiba-esplendidos-gran-reserva-2017,julieta-no-2,moyen_corse,vitole de galera standard (Esplendidos = Julieta No. 2) ; force publiée par Habanos pour la marque (medio a fuerte)
cohiba-genios,genios,moyen_corse,vitole de galera standard (Maduro 5 Genios = Genios) ; force publiée par Habanos pour la marque (medio a fuerte)
cohiba-magicos,magicos,moyen_corse,vitole de galera standard (Maduro 5 Magicos = Magicos) ; force publiée par Habanos pour la marque (medio a fuerte)
cohiba-piramides-extra,piramides-extra,moyen_corse,vitole de galera standard (Pirámides Extra) ; force publiée par Habanos pour la marque (medio a fuerte)
cohiba-secretos,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
cohiba-siglo-de-oro,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
cohiba-vistosos,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
cohiba-wide-short,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
cohiba-wide-short-e-l,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
cuaba-distinguidos,,moyen,force publiée par Habanos pour la marque (medio)
cuaba-divinos,,moyen,force publiée par Habanos pour la marque (medio)
cuaba-exclusivos,exquisitos,moyen,vitole de galera standard (Exclusivos = Exquisitos, double figurado) ; force publiée par Habanos pour la marque (medio)
cuaba-tradicionales,,moyen,force publiée par Habanos pour la marque (medio)
diplomaticos-cancilleres,,moyen,force publiée par Habanos pour la marque (medio)
fonseca-delicias,standard,leger,vitole de galera standard (Delicias = Standard) ; force publiée par Habanos pour la marque (ligero)
fonseca-kdt-cadetes,,leger,force publiée par Habanos pour la marque (ligero)
fonseca-n-1,cazadores,leger,vitole de galera standard (No. 1 = Cazadores) ; force publiée par Habanos pour la marque (ligero)
h-upmann-50,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
h-upmann-50-gran-reserva,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
h-upmann-54,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
h-upmann-coronas,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
h-upmann-finite-edition-limitee-2024,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
h-upmann-n-1,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
h-upmann-n-2,piramides,leger_moyen,vitole de galera standard (No. 2 = Pirámides) ; force publiée par Habanos pour la marque (ligero a medio)
hoyo-de-monterrey-epicure-n-3,,leger,force publiée par Habanos pour la marque (ligero)
hoyo-de-monterrey-le-hoyo-de-san-juan,,leger,force publiée par Habanos pour la marque (ligero)
hoyo-de-monterrey-le-hoyo-de-san-luis,,leger,force publiée par Habanos pour la marque (ligero)
hoyo-de-monterrey-le-hoyo-du-depute,trabucos,leger,vitole de galera standard (Le Hoyo du Député = Trabucos) ; force publiée par Habanos pour la marque (ligero)
hoyo-de-monterrey-le-hoyo-du-maire,,leger,force publiée par Habanos pour la marque (ligero)
hoyo-de-monterrey-monterreyes-n-4-edition-limitee-2021,,leger,force publiée par Habanos pour la marque (ligero)
hoyo-de-monterrey-palmas-extra,cremas,leger,vitole de galera standard (Palmas Extra = Cremas) ; force publiée par Habanos pour la marque (ligero)
hoyo-de-monterrey-rio-seco,,leger,force publiée par Habanos pour la marque (ligero)
jose-l-piedra-brevas,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
jose-l-piedra-conservas,conservas,moyen_corse,vitole de galera standard (Conservas) ; force publiée par Habanos pour la marque (medio a fuerte)
jose-l-piedra-petit-caballeros,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
juan-lopez-dom-juan-1622-edition-regionale-2022,,moyen,force publiée par Habanos pour la marque (medio)
juan-lopez-seleccion-n-1,coronas-gordas,moyen,vitole de galera standard (Selección No. 1 = Coronas Gordas) ; force publiée par Habanos pour la marque (medio)
la-flor-de-cano-petit-coronas,mareva,,vitole de galera standard (Petit Coronas = Marevas)
la-gloria-cubana-medaille-d-or-n-4,,moyen,force publiée par Habanos pour la marque (medio)
la-gloria-cubana-turquinos,,moyen,force publiée par Habanos pour la marque (medio)
